country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,colonizer,area,landlocked,continent,langoff_1,population,gdp_per_capita,life_expectancy,gni_atlas,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows,happiness
AFG,17804292964.0,11.8041858089129,0.4263547929,USA,652225,1,Asia,Persian,30117411,591.162798293135,61.553,16077121255.9847,23.7436639877543,22.7402524820273,38.7041485662647,144.7518695,52173421.0,0.721
AGO,111789686464.0,13.4824679218512,3.471976345,PRT,1246700,0,Africa,Portuguese,24220660,4615.46821863819,56.33,82606027251.3298,5.84568096888111,56.026514743024,78.3059714796182,244.3291519,-3023770965.83688,0.708
ALB,12890765324.0,3.42912324722164,2.545321845,NONE,28748,0,Europe,Albanian,2905195,4437.14288515077,76.914,12803715190.2171,18.2267654155688,24.484407516121,56.8624113125754,94.33720177,1048706682.05458,0.568
ARE,350666031314.0,0.877346595685083,6.930271629,GBR,83657,0,Asia,Arabic,8946778,39194.672239975,76.521,313384146047.084,0.671910149003627,58.0355992952437,151.702461172787,176.1497815,7152095825.6,0.764
ARG,530163281575.0,9.8,6.003951693,NONE,2766889,0,America,Spanish,41261490,12848.8641969705,75.439,442106779404.792,6.99873377022519,25.2126976058843,29.8719291780486,160.564925,10839930944.6815,0.813
ARM,10142111334.0,7.6500080785929,4.699999999,NONE,29800,1,Asia,Armenian,2876536,3525.80719813557,73.572,10160338267.6272,17.5,27.5,54.0222821392664,128.2433543,653219756.47225,0.488
AUS,1396649906339.0,3.30385015608744,2.462756312,NONE,7686848,0,Pacific,English,22340024,62517.8337471503,81.8951219512195,1124159547094.07,2.27654236627696,26.4361276332007,36.9050252078536,200.2885825,65554890649.5348,0.863
AUT,431120310089.0,3.28657914875376,2.922797284,NONE,83858,1,Europe,German,8391643,51374.9584066934,80.9829268292683,424545777489.332,1.40191493427276,25.4474320432043,85.5550043383505,88.72963314,22983942931.9264,0.89
AZE,65951627200.0,7.85833333333332,-1.572997621,NONE,86600,1,Asia,Azeri,9173082,7189.69122920765,71.234,50106859850.0597,5.07622595138436,61.7339963903076,67.7178136400292,199.3036857,4485120000.0,0.455
BDI,2235820868.0,9.59216605979671,4.032602496,DEU,27834,1,Africa,French,8958406,249.577972769836,57.925,2104253277.07175,36.7045760044036,14.8096813161324,39.1355155379094,164.5119637,3354999.1805922,0.683
BEL,522645519184.0,3.53208210722744,1.694513899,NONE,33114,0,Europe,Dutch,11038264,47348.5250202016,80.5853658536585,512154309724.699,0.648034219951815,20.7778964049581,180.354554932841,94.86824368,163624381384.585,0.821
BEN,10693321954.0,2.70423907747279,2.963752919,FRA,112622,0,Africa,French,9460829,1130.27318959427,59.59,10357314404.0903,25.7970008253273,18.1374491115974,33.0954235595754,137.2188236,161302390.821902,0.543
BFA,12080296644.0,2.7597672485453,6.622562613,FRA,274200,1,Africa,French,16081915,751.172770411005,57.761,10923947196.1676,23.043650452489,28.3722709055706,39.7755133137476,139.8371615,143845512.327138,0.497
BGD,128637938711.0,11.3951651552399,6.464379123,GBR,143998,0,Asia,Bengali,149273134,861.762162181077,70.256,133342217808.458,16.8099867573503,25.0452996007551,47.1501647240183,57.47437649,1264725163.33408,0.702
BGR,57386216850.0,4.21990346601875,2.354556923,NONE,110994,0,Europe,Bulgarian,7348328,7809.42506245471,74.1634146341463,53055186216.2556,4.64163500145713,25.0746261038118,105.931360066023,106.992395,2103810000.0,0.456
BHR,28776595745.0,-0.400040697488052,1.983515012,GBR,678,0,Asia,Arabic,1278153,22514.202716483,76.2,23212673261.2075,0.290850277264325,49.5171903881701,112.521996303142,138.7356468,780851063.829787,0.577
BIH,18644723861.0,3.67124999999999,0.9595112472,NONE,51233,0,Europe,Serbo-Croatian,3661173,5092.55472521264,76.219,18340665911.0296,6.75774577677582,22.1932593254568,90.6476283908872,101.9771048,471610992.220788,0.592
BLR,61757788945.0,53.2286983118173,5.37870745,NONE,207595,0,Europe,Belarussian,9473172,6519.23019498892,70.5536585365854,59335003902.1047,8.00175755504565,36.0887890771209,141.161141759833,110.2279572,4002400000.0,0.437
BOL,23963033431.0,9.88446419823887,5.204092308,NONE,1098581,1,America,Spanish,10212951,2346.3378439235,68.521,20429831915.6059,9.7695858816954,30.3691066361261,67.958841888504,181.1220112,858941070.400943,0.773
BRA,2616200980392.0,6.63644962213085,3.974425406,NONE,8511920,0,America,Portuguese,197514541,13245.6120301146,73.921,2188989722562.72,4.34203511988559,23.102056242361,18.8442708987175,134.179349,102427228231.42,0.853
BWA,15351972361.0,8.45987233408587,6.048361455,GBR,600372,1,Africa,English,2015406,7617.31004132551,61.91,13312727615.7648,2.51091768009965,35.0464653041146,85.6828014704467,82.76717855,293208060.474684,0.732
CAF,2437982840.0,1.19447572449849,4.194615337,FRA,622984,1,Africa,French,4418639,551.749691833885,47.95,2341223148.37222,37.5690227836114,26.6383554299084,20.5087590921589,76.73652007,36908455.8896,0.524
CAN,1788647906048.0,2.91213508872355,3.146881372,NONE,9976139,0,America,English,34339328,52223.696112356,81.4487804878049,1620451332415.4,1.76566446625627,27.1393405983891,51.0211014884086,117.8183923,38338330427.428,0.911
CHE,699579638413.0,0.231349207650894,1.692808513,NONE,41288,1,Europe,German,7912398,91254.0347609687,82.6951219512195,651068739003.502,0.670935894205478,25.2795684493631,61.3594923573866,103.6055837,20764483834.5029,0.907
CHL,252251992029.0,3.34121694259299,6.110918829,NONE,756945,0,America,Spanish,17233584,14637.2334407887,78.986,212599041048.838,3.67120659392567,34.701322001914,61.8956459942552,217.8286291,25564944876.5765,0.792
CHN,7551500124203.0,5.55389892257492,9.550832179,NONE,9572378,0,Asia,Chinese,1344130000,5618.13226711491,74.708,6783868514298.71,9.17765379535199,46.5292894700168,48.2270401920596,79.04874299,280072219149.935,0.785
